No.,ID_Alarm,Alarm_Name,Alarm_Type,Alarm_Value
0,M31,LOW_AIR_PRESSURE,b,0
1,M32,EMERGENCY_STOP_PRESSED,b,0
2,M33,INDEX_MOTOR_OVERLOAD_X11,b,0
3,M34,INDEX_JAM,b,0
4,M35,MACHINE_AUTO_MODE,b,0
5,M70,M70,b,0
6,M36,COMMUNICATION_ALARM,b,0
7,M37,B_F_SWITCH_NOT_ON,b,0
8,M52,L_F_SWITCH_NOT_ON,b,0
9,M38,S1_STATION_NT_HOME_X20_X21,b,0
10,M71,S1_HORZ_SLIDE_NOT_REV_X20,b,0
11,M39,S1_SING_SLD_NT_REV_X22,b,0
12,M40,S1_SING_VERT_SLD_NT_DN_X23,b,0
13,M41,S2_VERT_CYL_NT_UP_X27,b,0
14,M42,S4_FILTER_CUT_VERT_CYL_NT_DN_X33,b,0
15,M43,S4_STATION_NT_HOME_X34_X35,b,0
16,M63,MODEL_NOT_SELECTED,b,0
17,M72,S4_HORZ_SLIDE_NOT_REV_X34,b,0
18,M73,WORK_HOLDER_CLEAR,b,0
19,M44,S4_FILTER_HLD_VERT_CYL_NT_DN_X36_T1,b,0
20,M45,S4_FILTER_HLD_VERT_CYL_NT_DN_X37_T2,b,0
21,M46,S8_STOPPER_VERT_SLD_NT_UP_X50,b,0
22,M47,S8_VERT_SLD_NT_DN_X51,b,0
23,M55,MANUAL_CONTROL_ON,b,0
24,M48,S10_S11_STATION_NT_HOME_X60_X61,b,0
25,M4000,EJECTION_FLG_TR1,b,0
26,M4001,EJECTION_FLG_TR2,b,0
27,M4002,EJECTION_FLG_TR3,b,0
28,M49,S12_JOB_NT_EJECTED_T1_X62,b,0
29,M50,S12_JOB_NT_EJECTED_T2_X63,b,0
30,M51,S12_JOB_NT_EJECTED_T3_X64,b,0
31,M56,S7_HORZ_CYL_NOT_REV,b,0
32,M57,S12_EJECTION_SLIDE_NOT_REV,b,0
33,M58,S7_WH_PIN_LIFT_CYL_NOT_UP,b,0
34,M53,S7_WELD_NT_RDY,b,0
35,M54,S7_WELD_NT_HOME,b,0
36,M66,S7_WELDING_MC_ALARM,b,0
37,M67,S7_WELDING_UNIT_NOT_READY,b,0
38,M59,BATCH_QTY_XCD,b,0
39,M75,FRONT_DOOR_OPEN,b,0
40,M76,REAR_DOOR_OPEN,b,0
41,M77,RIGHT_DOOR_OPEN,b,0
42,M78,BACK_DOOR_OPEN,b,0
43,M174,ALL_MISS_CNT,b,0
44,M60,S1_BF_JAM_T1_X24,b,0
45,M61,S1_BF_JAM_T2_X25,b,0
46,M62,S1_BF_JAM_T3_X26,b,0
