No.,ID_Counting,Counting_Name,Counting_Type,Counting_Value
0,D930,JOB_MIN,i,100
1,D4040,goodProductRaw,i,8504
2,D4076,EFF,i,99
3,D5040,ACT_BATCH_CNT,i,8504
4,D5070,SET_BATCH_QTY,i,10000
5,D4050,errorProduct,i,4
6,D4060,productCount,i,8508
7,D4000,GOOD_CNT_TR1,i,2835
8,D4004,GOOD_CNT_TR2,i,2834
9,D4008,GOOD_CNT_TR3,i,2835
10,D4054,TOTAL_CNT_TR1,i,2836
11,D4056,TOTAL_CNT_TR2,i,2836
12,D4058,TOTAL_CNT_TR3,i,2836
13,D4150,BAD_CNT_TR1,i,1
14,D4154,BAD_CNT_TR2,i,2
15,D4158,BAD_CNT_TR3,i,0
16,D2120,S8_TOTAL_HEIGHT_TR1,i,0
17,D3120,S8_TOTAL_HEIGHT_TR2,i,0
18,D5120,S8_TOTAL_HEIGHT_TR3,i,0
