No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
0,0,machineStatus,0,2024-01-29T11:55:50.081760,MachineStatus,1
1,8,machineStatus,8,2024-01-29T11:55:51.341694,MachineStatus,1
2,D4100,S2_HUB_ABSENT_TR1,12,2024-01-29T11:55:51.349750,Checking,1
3,D2116,S8_OFF_SET_TR1,0.0,2024-01-29T11:55:51.357750,Setting,1
4,3,machineStatus,3,2024-01-29T11:55:51.349750,MachineStatus,1
5,M31,LOW_AIR_PRESSURE,0,2024-01-29T11:55:51.368989,Alarm,1
0,0,machineStatus,0,2024-01-29T11:57:10.839372,MachineStatus,1
1,D4100,S2_HUB_ABSENT_TR1,12,2024-01-29T11:57:12.117430,Checking,1
2,3,machineStatus,3,2024-01-29T11:57:12.123964,MachineStatus,1
3,D930,JOB_MIN,0,2024-01-29T11:57:12.123964,Counting,1
4,D2116,S8_OFF_SET_TR1,0.0,2024-01-29T11:57:12.134254,Setting,1
5,M31,LOW_AIR_PRESSURE,0,2024-01-29T11:57:12.142409,Alarm,1
6,D4104,S6_FILTER_ABSENT_TR1,5,2024-01-29T11:57:12.217022,Checking,1
7,D4040,goodProductRaw,100,2024-01-29T11:57:12.225029,Counting,1
8,D2124,S8_MINIMUM_HEIGHT_VALUE_TR1,1.0,2024-01-29T11:57:12.233028,Setting,1
9,M32,EMERGENCY_STOP_PRESSED,0,2024-01-29T11:57:12.297903,Alarm,1
10,D2128,S8_MAXIMUM_HEIGHT_VALUE_TR1,6.0,2024-01-29T11:57:12.305985,Setting,1
11,D4076,EFF,600,2024-01-29T11:57:12.314039,Counting,1
12,D4108,S8_FLOW_CHK_FAIL_TR1,0,2024-01-29T11:57:12.322025,Checking,1
13,M33,INDEX_MOTOR_OVERLOAD_X11,0,2024-01-29T11:57:12.386015,Alarm,1
14,D5040,ACT_BATCH_CNT,0,2024-01-29T11:57:12.394288,Counting,1
15,D4116,S2_HUB_ABSENT_TR2,12,2024-01-29T11:57:12.404843,Checking,1
16,D3116,S8_OFF_SET_TR2,0.0,2024-01-29T11:57:12.410392,Setting,1
17,D4120,S6_FILTER_ABSENT_TR2,5,2024-01-29T11:57:12.474993,Checking,1
18,D3124,S8_MINIMUM_HEIGHT_VALUE_TR2,1.0,2024-01-29T11:57:12.483500,Setting,1
19,M34,INDEX_JAM,0,2024-01-29T11:57:12.491528,Alarm,1
20,D5070,SET_BATCH_QTY,100,2024-01-29T11:57:12.499582,Counting,1
21,M35,MACHINE_AUTO_MODE,0,2024-01-29T11:57:12.563805,Alarm,1
22,D4124,S8_FLOW_CHK_FAIL_TR2,1,2024-01-29T11:57:12.574124,Checking,1
23,D3128,S8_MAXIMUM_HEIGHT_TR2,6.0,2024-01-29T11:57:12.580138,Setting,1
24,D4050,errorProduct,600,2024-01-29T11:57:12.588165,Counting,1
25,D4132,S2_HUB_ABSENT_TR3,12,2024-01-29T11:57:12.612229,Checking,1
26,M70,M70,0,2024-01-29T11:57:12.620245,Alarm,1
27,D4060,productCount,0,2024-01-29T11:57:12.668248,Counting,1
28,D5116,S8_OFF_SET_TR3,0.0,2024-01-29T11:57:12.676249,Setting,1
29,M36,COMMUNICATION_ALARM,1,2024-01-29T11:57:12.684253,Alarm,1
30,D4136,S6_FILTER_ABSENT_TR3,5,2024-01-29T11:57:12.692246,Checking,1
31,D4000,GOOD_CNT_TR1,100,2024-01-29T11:57:12.757460,Counting,1
32,D4140,S8_FLOW_CHK_FAIL_TR3,0,2024-01-29T11:57:12.765542,Checking,1
33,M37,B_F_SWITCH_NOT_ON,0,2024-01-29T11:57:12.773523,Alarm,1
34,D5124,S8_MINIMUM_HEIGHT_VALUE_TR3,1.0,2024-01-29T11:57:12.781522,Setting,1
35,M52,L_F_SWITCH_NOT_ON,0,2024-01-29T11:57:12.846159,Alarm,1
36,D4004,GOOD_CNT_TR2,600,2024-01-29T11:57:12.854645,Counting,1
37,D5128,S8_MAXIMUM_HEIGHT_VALUE_TR3,6.0,2024-01-29T11:57:12.870676,Setting,1
38,8,machineStatus,8,2024-01-29T11:57:12.894674,MachineStatus,1
39,M38,S1_STATION_NT_HOME_X20_X21,0,2024-01-29T11:57:12.942799,Alarm,1
0,0,machineStatus,0,2024-01-29T11:57:31.497603,MachineStatus,1
1,8,machineStatus,8,2024-01-29T11:57:32.789204,MachineStatus,1
2,D4100,S2_HUB_ABSENT_TR1,12,2024-01-29T11:57:32.803315,Checking,1
3,3,machineStatus,3,2024-01-29T11:57:32.805341,MachineStatus,1
4,D2116,S8_OFF_SET_TR1,0.0,2024-01-29T11:57:32.805341,Setting,1
5,M31,LOW_AIR_PRESSURE,0,2024-01-29T11:57:32.813383,Alarm,1
0,0,machineStatus,0,2024-01-29T11:58:36.234112,MachineStatus,1
1,D2116,S8_OFF_SET_TR1,0.0,2024-01-29T11:58:37.500546,Setting,1
2,D930,JOB_MIN,54,2024-01-29T11:58:37.501792,Counting,1
3,3,machineStatus,3,2024-01-29T11:58:37.510256,MachineStatus,1
4,D4100,S2_HUB_ABSENT_TR1,12,2024-01-29T11:58:37.510256,Checking,1
5,M31,LOW_AIR_PRESSURE,0,2024-01-29T11:58:37.522191,Alarm,1
6,D2124,S8_MINIMUM_HEIGHT_VALUE_TR1,1.0,2024-01-29T11:58:37.526716,Setting,1
7,D4040,goodProductRaw,65,2024-01-29T11:58:37.549220,Counting,1
8,D2128,S8_MAXIMUM_HEIGHT_VALUE_TR1,6.0,2024-01-29T11:58:37.604485,Setting,1
9,M32,EMERGENCY_STOP_PRESSED,0,2024-01-29T11:58:37.618697,Alarm,1
10,D4104,S6_FILTER_ABSENT_TR1,5,2024-01-29T11:58:37.627292,Checking,1
11,D4076,EFF,80,2024-01-29T11:58:37.634862,Counting,1
12,D4108,S8_FLOW_CHK_FAIL_TR1,0,2024-01-29T11:58:37.703290,Checking,1
13,D5040,ACT_BATCH_CNT,65,2024-01-29T11:58:37.706551,Counting,1
14,M33,INDEX_MOTOR_OVERLOAD_X11,0,2024-01-29T11:58:37.718864,Alarm,1
15,D3116,S8_OFF_SET_TR2,0.0,2024-01-29T11:58:37.718864,Setting,1
16,D4116,S2_HUB_ABSENT_TR2,12,2024-01-29T11:58:37.788532,Checking,1
17,D5070,SET_BATCH_QTY,10000,2024-01-29T11:58:37.800415,Counting,1
18,D3124,S8_MINIMUM_HEIGHT_VALUE_TR2,1.0,2024-01-29T11:58:37.805666,Setting,1
19,M34,INDEX_JAM,0,2024-01-29T11:58:37.807962,Alarm,1
20,D4120,S6_FILTER_ABSENT_TR2,5,2024-01-29T11:58:37.864082,Checking,1
21,D4050,errorProduct,16,2024-01-29T11:58:37.868462,Counting,1
22,D3128,S8_MAXIMUM_HEIGHT_TR2,6.0,2024-01-29T11:58:37.879716,Setting,1
23,M35,MACHINE_AUTO_MODE,0,2024-01-29T11:58:37.897925,Alarm,1
24,D4124,S8_FLOW_CHK_FAIL_TR2,1,2024-01-29T11:58:37.918932,Checking,1
25,D4060,productCount,81,2024-01-29T11:58:37.975287,Counting,1
26,D5116,S8_OFF_SET_TR3,0.0,2024-01-29T11:58:37.985165,Setting,1
27,M70,M70,0,2024-01-29T11:58:37.993194,Alarm,1
28,D4000,GOOD_CNT_TR1,22,2024-01-29T11:58:38.058249,Counting,1
29,D5124,S8_MINIMUM_HEIGHT_VALUE_TR3,1.0,2024-01-29T11:58:38.058249,Setting,1
30,D4132,S2_HUB_ABSENT_TR3,12,2024-01-29T11:58:38.067458,Checking,1
31,M36,COMMUNICATION_ALARM,1,2024-01-29T11:58:38.079991,Alarm,1
32,D4136,S6_FILTER_ABSENT_TR3,5,2024-01-29T11:58:38.141091,Checking,1
33,D4004,GOOD_CNT_TR2,21,2024-01-29T11:58:38.149107,Counting,1
34,D5128,S8_MAXIMUM_HEIGHT_VALUE_TR3,6.0,2024-01-29T11:58:38.157107,Setting,1
35,M37,B_F_SWITCH_NOT_ON,0,2024-01-29T11:58:38.165108,Alarm,1
36,D4140,S8_FLOW_CHK_FAIL_TR3,0,2024-01-29T11:58:38.233097,Checking,1
37,M52,L_F_SWITCH_NOT_ON,0,2024-01-29T11:58:38.241591,Alarm,1
38,D4008,GOOD_CNT_TR3,22,2024-01-29T11:58:38.249641,Counting,1
39,M38,S1_STATION_NT_HOME_X20_X21,0,2024-01-29T11:58:38.322278,Alarm,1
40,D4054,TOTAL_CNT_TR1,27,2024-01-29T11:58:38.330334,Counting,1
41,M71,S1_HORZ_SLIDE_NOT_REV_X20,0,2024-01-29T11:58:38.386392,Alarm,1
42,D4056,TOTAL_CNT_TR2,27,2024-01-29T11:58:38.418412,Counting,1
43,M39,S1_SING_SLD_NT_REV_X22,0,2024-01-29T11:58:38.434418,Alarm,1
44,operationTimeRaw,operationTimeRaw,00:00:02,2024-01-29T11:58:38.442418,Counting,1
45,D4058,TOTAL_CNT_TR3,27,2024-01-29T11:58:38.490459,Counting,1
