No.,ID_Counting,Counting_Name,Counting_Type,Counting_Value
0,VW1198,A10,Int,
1,VW1196,A9,Int,
2,VW1194,A8,Int,
3,VW1192,A7,Int,
4,VW1190,A6,Int,
5,VW1098,A5,Int,
6,VW1096,A4,Int,
7,VW1094,A3,Int,
8,VW1092,A2,Int,
9,VW1090,A1,Int,
10,VW1188,B10,Int,
11,VW1186,B9,Int,
12,VW1184,B8,Int,
13,VW1182,B7,Int,
14,VW1180,B6,Int,
15,VW1088,B5,Int,
16,VW1086,B4,Int,
17,VW1084,B3,Int,
18,VW1082,B2,Int,
19,VW1080,B1,Int,
20,VW1178,C10,Int,
21,VW1176,C9,Int,
22,VW1174,C8,Int,
23,VW1172,C7,Int,
24,VW1170,C6,Int,
25,VW1078,C5,Int,
26,VW1076,C4,Int,
27,VW1074,C3,Int,
28,VW1072,C2,Int,
29,VW1070,C1,Int,
30,VW1168,D10,Int,
31,VW1166,D9,Int,
32,VW1164,D8,Int,
33,VW1162,D7,Int,
34,VW1160,D6,Int,
35,VW1068,D5,Int,
36,VW1066,D4,Int,
37,VW1064,D3,Int,
38,VW1062,D2,Int,
39,VW1060,D1,Int,
40,VW1158,E10,Int,
41,VW1156,E9,Int,
42,VW1154,E8,Int,
43,VW1152,E7,Int,
44,VW1150,E6,Int,
45,VW1058,E5,Int,
46,VW1056,E4,Int,
47,VW1054,E3,Int,
48,VW1052,E2,Int,
49,VW1050,E1,Int,
50,VW1148,F10,Int,
51,VW1146,F9,Int,
52,VW1144,F8,Int,
53,VW1142,F7,Int,
54,VW1140,F6,Int,
55,VW1048,F5,Int,
56,VW1046,F4,Int,
57,VW1044,F3,Int,
58,VW1042,F2,Int,
59,VW1040,F1,Int,
60,VW1138,G10,Int,
61,VW1136,G9,Int,
62,VW1134,G8,Int,
63,VW1132,G7,Int,
64,VW1130,G6,Int,
65,VW1038,G5,Int,
66,VW1036,G4,Int,
67,VW1034,G3,Int,
68,VW1032,G2,Int,
69,VW1030,G1,Int,
70,VW1128,H10,Int,
71,VW1126,H9,Int,
72,VW1124,H8,Int,
73,VW1122,H7,Int,
74,VW1120,H6,Int,
75,VW1028,H5,Int,
76,VW1026,H4,Int,
77,VW1024,H3,Int,
78,VW1022,H2,Int,
79,VW1020,H1,Int,
80,VW1118,I10,Int,
81,VW1116,I9,Int,
82,VW1114,I8,Int,
83,VW1112,I7,Int,
84,VW1110,I6,Int,
85,VW1018,I5,Int,
86,VW1016,I4,Int,
87,VW1014,I3,Int,
88,VW1012,I2,Int,
89,VW1010,I1,Int,
90,VW1108,K10,Int,
91,VW1106,K9,Int,
92,VW1104,K8,Int,
93,VW1102,K7,Int,
94,VW1100,K6,Int,
95,VW1008,K5,Int,
96,VW1006,K4,Int,
97,VW1004,K3,Int,
98,VW1002,K2,Int,
99,VW1000,K1,Int,
100,VW3600,1,Int,
101,VW3602,2,Int,
102,VW3604,3,Int,
103,VW3606,4,Int,
104,VW3608,5,Int,
105,VW3610,6,Int,
106,VW3612,7,Int,
107,VW3614,8,Int,
108,VW3616,9,Int,
109,VW3618,10,Int,
110,VW3620,Max,Int,
111,VW3622,Min,Int,
112,VW4198,A10,Int,
113,VW4196,A9,Int,
114,VW4194,A8,Int,
115,VW4192,A7,Int,
116,VW4190,A6,Int,
117,VW4098,A5,Int,
118,VW4096,A4,Int,
119,VW4094,A3,Int,
120,VW4092,A2,Int,
121,VW4090,A1,Int,
122,VW4188,B10,Int,
123,VW4186,B9,Int,
124,VW4184,B8,Int,
125,VW4182,B7,Int,
126,VW4180,B6,Int,
127,VW4088,B5,Int,
128,VW4086,B4,Int,
129,VW4084,B3,Int,
130,VW4082,B2,Int,
131,VW4080,B1,Int,
132,VW4178,C10,Int,
133,VW4176,C9,Int,
134,VW4174,C8,Int,
135,VW4172,C7,Int,
136,VW4170,C6,Int,
137,VW4078,C5,Int,
138,VW4076,C4,Int,
139,VW4074,C3,Int,
140,VW4072,C2,Int,
141,VW4070,C1,Int,
142,VW4168,D10,Int,
143,VW4166,D9,Int,
144,VW4164,D8,Int,
145,VW4162,D7,Int,
146,VW4160,D6,Int,
147,VW4068,D5,Int,
148,VW4066,D4,Int,
149,VW4064,D3,Int,
150,VW4062,D2,Int,
151,VW4060,D1,Int,
152,VW4158,E10,Int,
153,VW4156,E9,Int,
154,VW4154,E8,Int,
155,VW4152,E7,Int,
156,VW4150,E6,Int,
157,VW4058,E5,Int,
158,VW4056,E4,Int,
159,VW4054,E3,Int,
160,VW4052,E2,Int,
161,VW4050,E1,Int,
162,VW4148,F10,Int,
163,VW4146,F9,Int,
164,VW4144,F8,Int,
165,VW4142,F7,Int,
166,VW4140,F6,Int,
167,VW4048,F5,Int,
168,VW4046,F4,Int,
169,VW4044,F3,Int,
170,VW4042,F2,Int,
171,VW4040,F1,Int,
172,VW4138,G10,Int,
173,VW4136,G9,Int,
174,VW4134,G8,Int,
175,VW4132,G7,Int,
176,VW4130,G6,Int,
177,VW4038,G5,Int,
178,VW4036,G4,Int,
179,VW4034,G3,Int,
180,VW4032,G2,Int,
181,VW4030,G1,Int,
182,VW4128,H10,Int,
183,VW4126,H9,Int,
184,VW4124,H8,Int,
185,VW4122,H7,Int,
186,VW4120,H6,Int,
187,VW4028,H5,Int,
188,VW4026,H4,Int,
189,VW4024,H3,Int,
190,VW4022,H2,Int,
191,VW4020,H1,Int,
192,VW4118,I10,Int,
193,VW4116,I9,Int,
194,VW4114,I8,Int,
195,VW4112,I7,Int,
196,VW4110,I6,Int,
197,VW4018,I5,Int,
198,VW4016,I4,Int,
199,VW4014,I3,Int,
200,VW4012,I2,Int,
201,VW4010,I1,Int,
202,VW4108,K10,Int,
203,VW4106,K9,Int,
204,VW4104,K8,Int,
205,VW4102,K7,Int,
206,VW4100,K6,Int,
207,VW4008,K5,Int,
208,VW4006,K4,Int,
209,VW4004,K3,Int,
210,VW4002,K2,Int,
211,VW4000,K1,Int,
212,VW4598,A10,Int,
213,VW4596,A9,Int,
214,VW4594,A8,Int,
215,VW4592,A7,Int,
216,VW4590,A6,Int,
217,VW4498,A5,Int,
218,VW4496,A4,Int,
219,VW4494,A3,Int,
220,VW4492,A2,Int,
221,VW4490,A1,Int,
222,VW4588,B10,Int,
223,VW4586,B9,Int,
224,VW4584,B8,Int,
225,VW4582,B7,Int,
226,VW4580,B6,Int,
227,VW4488,B5,Int,
228,VW4486,B4,Int,
229,VW4484,B3,Int,
230,VW4482,B2,Int,
231,VW4480,B1,Int,
232,VW4578,C10,Int,
233,VW4576,C9,Int,
234,VW4574,C8,Int,
235,VW4572,C7,Int,
236,VW4570,C6,Int,
237,VW4478,C5,Int,
238,VW4476,C4,Int,
239,VW4474,C3,Int,
240,VW4472,C2,Int,
241,VW4470,C1,Int,
242,VW4568,D10,Int,
243,VW4566,D9,Int,
244,VW4564,D8,Int,
245,VW4562,D7,Int,
246,VW4560,D6,Int,
247,VW4468,D5,Int,
248,VW4466,D4,Int,
249,VW4464,D3,Int,
250,VW4462,D2,Int,
251,VW4460,D1,Int,
252,VW4558,E10,Int,
253,VW4556,E9,Int,
254,VW4554,E8,Int,
255,VW4552,E7,Int,
256,VW4550,E6,Int,
257,VW4458,E5,Int,
258,VW4456,E4,Int,
259,VW4454,E3,Int,
260,VW4452,E2,Int,
261,VW4450,E1,Int,
262,VW4548,F10,Int,
263,VW4546,F9,Int,
264,VW4544,F8,Int,
265,VW4542,F7,Int,
266,VW4540,F6,Int,
267,VW4448,F5,Int,
268,VW4446,F4,Int,
269,VW4444,F3,Int,
270,VW4442,F2,Int,
271,VW4440,F1,Int,
272,VW4538,G10,Int,
273,VW4536,G9,Int,
274,VW4534,G8,Int,
275,VW4532,G7,Int,
276,VW4530,G6,Int,
277,VW4438,G5,Int,
278,VW4436,G4,Int,
279,VW4434,G3,Int,
280,VW4432,G2,Int,
281,VW4430,G1,Int,
282,VW4528,H10,Int,
283,VW4526,H9,Int,
284,VW4524,H8,Int,
285,VW4522,H7,Int,
286,VW4520,H6,Int,
287,VW4428,H5,Int,
288,VW4426,H4,Int,
289,VW4424,H3,Int,
290,VW4422,H2,Int,
291,VW4420,H1,Int,
292,VW4518,I10,Int,
293,VW4516,I9,Int,
294,VW4514,I8,Int,
295,VW4512,I7,Int,
296,VW4510,I6,Int,
297,VW4418,I5,Int,
298,VW4416,I4,Int,
299,VW4414,I3,Int,
300,VW4412,I2,Int,
301,VW4410,I1,Int,
302,VW4508,K10,Int,
303,VW4506,K9,Int,
304,VW4504,K8,Int,
305,VW4502,K7,Int,
306,VW4500,K6,Int,
307,VW4408,K5,Int,
308,VW4406,K4,Int,
309,VW4404,K3,Int,
310,VW4402,K2,Int,
311,VW4400,K1,Int,
