No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
0,None,DEATH,N02/DV01,2024-01-27T15:57:11.652117,Siemens,1
0,b'\x02\x0c\x00',pressure_SP,1600,2024-01-27T16:28:27.430861,Omron,1
1,b'\x02\x08\x00',pressure,1514,2024-01-27T16:28:27.551854,Omron,1
2,b'\x02X\x00',temperature,1673,2024-01-27T16:28:27.674867,Omron,1
3,b'\x01\x90\x00',temperature_SP,1671,2024-01-27T16:28:27.799868,Omron,1
4,b'\x02\x08\x00',pressure,1510,2024-01-27T16:28:28.510562,Omron,1
5,b'\x02\x08\x00',pressure,1509,2024-01-27T16:28:29.454922,Omron,1
6,b'\x02\x08\x00',pressure,1508,2024-01-27T16:28:31.320755,Omron,1
7,b'\x02\x08\x00',pressure,1507,2024-01-27T16:28:32.226735,Omron,1
8,b'\x02X\x00',temperature,1674,2024-01-27T16:28:32.348987,Omron,1
9,b'\x02\x08\x00',pressure,1506,2024-01-27T16:28:34.644397,Omron,1
10,b'\x02\x08\x00',pressure,1505,2024-01-27T16:28:36.551184,Omron,1
0,b'\x02\x0c\x00',pressure_SP,1600,2024-01-27T16:45:26.072562,Omron,1
1,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:26.191562,Omron,1
2,b'\x02X\x00',temperature,1669,2024-01-27T16:45:26.317324,Omron,1
3,b'\x01\x90\x00',temperature_SP,1671,2024-01-27T16:45:26.432458,Omron,1
4,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:32.665464,Omron,1
5,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:35.477293,Omron,1
6,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:39.598976,Omron,1
7,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:41.446195,Omron,1
8,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:42.383405,Omron,1
9,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:43.304883,Omron,1
10,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:44.651580,Omron,1
11,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:45.622746,Omron,1
12,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:46.547052,Omron,1
13,b'\x02\x08\x00',pressure,1613,2024-01-27T16:45:50.720123,Omron,1
14,b'\x02\x08\x00',pressure,1612,2024-01-27T16:45:51.605717,Omron,1
15,b'\x02X\x00',temperature,1670,2024-01-27T16:46:12.441153,Omron,1
16,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:22.483298,Omron,1
17,b'\x02\x08\x00',pressure,1612,2024-01-27T16:46:23.413434,Omron,1
18,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:25.345522,Omron,1
19,b'\x02\x08\x00',pressure,1612,2024-01-27T16:46:26.290350,Omron,1
20,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:28.622543,Omron,1
21,b'\x02\x08\x00',pressure,1612,2024-01-27T16:46:29.584166,Omron,1
22,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:30.507816,Omron,1
23,b'\x02\x08\x00',pressure,1612,2024-01-27T16:46:31.460673,Omron,1
24,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:33.309805,Omron,1
25,b'\x02\x08\x00',pressure,1612,2024-01-27T16:46:41.630081,Omron,1
26,b'\x02\x08\x00',pressure,1611,2024-01-27T16:46:42.550341,Omron,1
27,b'\x02\x08\x00',pressure,1610,2024-01-27T16:47:00.553546,Omron,1
28,b'\x02\x08\x00',pressure,1611,2024-01-27T16:47:01.504455,Omron,1
29,b'\x02\x08\x00',pressure,1610,2024-01-27T16:47:03.384729,Omron,1
30,b'\x02\x08\x00',pressure,1611,2024-01-27T16:47:04.321749,Omron,1
0,b'\x02\x0c\x00',pressure_SP,160.0,2024-01-27T16:47:18.108877,Omron,1
1,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:47:18.225782,Omron,1
2,b'\x02X\x00',temperature,167.0,2024-01-27T16:47:18.343586,Omron,1
3,b'\x01\x90\x00',temperature_SP,167.1,2024-01-27T16:47:18.459989,Omron,1
4,b'\x02X\x00',temperature,167.1,2024-01-27T16:48:23.439219,Omron,1
5,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:48:53.320606,Omron,1
6,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:48:54.773803,Omron,1
7,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:48:57.599922,Omron,1
8,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:48:58.512567,Omron,1
9,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:00.444324,Omron,1
10,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:01.347100,Omron,1
11,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:02.357807,Omron,1
12,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:03.280095,Omron,1
13,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:04.727121,Omron,1
14,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:05.663415,Omron,1
15,b'\x02X\x00',temperature,167.2,2024-01-27T16:49:06.268423,Omron,1
16,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:08.575352,Omron,1
17,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:10.420087,Omron,1
18,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:11.382273,Omron,1
19,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:13.690835,Omron,1
20,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:14.632603,Omron,1
21,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:15.598160,Omron,1
22,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:21.317884,Omron,1
23,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:22.706462,Omron,1
24,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:23.622610,Omron,1
25,b'\x00\x05\x06',cycleTime,126.174043,2024-01-27T16:49:24.289924,Omron,1
26,b'\x02\x08\x00',pressure,0.2,2024-01-27T16:49:25.442054,Omron,1
27,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:27.373570,Omron,1
28,b'\x02\x08\x00',pressure,1.2,2024-01-27T16:49:32.509463,Omron,1
29,b'\x02X\x00',temperature,167.3,2024-01-27T16:49:32.645999,Omron,1
30,b'\x02\x08\x00',pressure,2.4,2024-01-27T16:49:33.435992,Omron,1
31,b'\x02\x08\x00',pressure,4.5,2024-01-27T16:49:34.382589,Omron,1
32,b'\x02\x08\x00',pressure,14.6,2024-01-27T16:49:35.316443,Omron,1
33,b'\x02\x08\x00',pressure,53.8,2024-01-27T16:49:36.750094,Omron,1
34,b'\x02\x08\x00',pressure,103.5,2024-01-27T16:49:37.671608,Omron,1
35,b'\x02\x08\x00',pressure,0.8,2024-01-27T16:49:38.645960,Omron,1
36,b'\x02\x08\x00',pressure,1.7,2024-01-27T16:49:39.578353,Omron,1
37,b'\x02\x08\x00',pressure,2.1,2024-01-27T16:49:40.520056,Omron,1
38,b'\x02\x08\x00',pressure,20.7,2024-01-27T16:49:41.416192,Omron,1
39,b'\x02\x08\x00',pressure,69.9,2024-01-27T16:49:42.409723,Omron,1
40,b'\x02\x08\x00',pressure,102.9,2024-01-27T16:49:43.331535,Omron,1
41,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:44.686087,Omron,1
42,b'\x02\x08\x00',pressure,1.9,2024-01-27T16:49:45.635568,Omron,1
43,b'\x02\x08\x00',pressure,3.1,2024-01-27T16:49:46.580888,Omron,1
44,b'\x02\x08\x00',pressure,40.5,2024-01-27T16:49:47.502684,Omron,1
45,b'\x02\x08\x00',pressure,96.6,2024-01-27T16:49:48.419581,Omron,1
46,b'\x02\x08\x00',pressure,1.0,2024-01-27T16:49:49.357275,Omron,1
47,b'\x02\x08\x00',pressure,0.5,2024-01-27T16:49:50.289859,Omron,1
48,b'\x02\x08\x00',pressure,2.0,2024-01-27T16:49:51.703092,Omron,1
49,b'\x02\x08\x00',pressure,16.5,2024-01-27T16:49:52.627580,Omron,1
50,b'\x02\x08\x00',pressure,102.9,2024-01-27T16:49:53.543318,Omron,1
51,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:49:54.523940,Omron,1
52,b'\x02\x08\x00',pressure,0.1,2024-01-27T16:49:55.460744,Omron,1
53,b'\x02\x08\x00',pressure,1.8,2024-01-27T16:49:56.415487,Omron,1
54,b'\x02\x08\x00',pressure,2.9,2024-01-27T16:49:57.310576,Omron,1
55,b'\x02\x08\x00',pressure,102.8,2024-01-27T16:49:58.720837,Omron,1
56,b'\x02\x08\x00',pressure,15.6,2024-01-27T16:49:59.652161,Omron,1
57,b'\x02\x08\x00',pressure,0.9,2024-01-27T16:50:00.587414,Omron,1
58,b'\x02\x08\x00',pressure,1.5,2024-01-27T16:50:01.566958,Omron,1
59,b'\x02\x08\x00',pressure,2.0,2024-01-27T16:50:02.505488,Omron,1
60,b'\x02\x08\x00',pressure,21.1,2024-01-27T16:50:03.433069,Omron,1
61,b'\x02\x08\x00',pressure,13.8,2024-01-27T16:50:04.349940,Omron,1
62,b'\x02\x08\x00',pressure,152.1,2024-01-27T16:50:05.299575,Omron,1
63,b'\x02\x08\x00',pressure,151.6,2024-01-27T16:50:06.698913,Omron,1
64,b'\x02\x08\x00',pressure,151.4,2024-01-27T16:50:07.645582,Omron,1
65,b'\x02\x08\x00',pressure,151.0,2024-01-27T16:50:08.568768,Omron,1
66,b'\x02\x08\x00',pressure,150.9,2024-01-27T16:50:09.499863,Omron,1
67,b'\x02\x08\x00',pressure,150.8,2024-01-27T16:50:11.397004,Omron,1
68,b'\x02\x08\x00',pressure,150.7,2024-01-27T16:50:12.349010,Omron,1
69,b'\x02X\x00',temperature,167.4,2024-01-27T16:50:12.468740,Omron,1
70,b'\x02\x08\x00',pressure,150.6,2024-01-27T16:50:14.622698,Omron,1
71,b'\x02\x08\x00',pressure,150.5,2024-01-27T16:50:16.471027,Omron,1
72,b'\x02\x08\x00',pressure,150.4,2024-01-27T16:50:21.628441,Omron,1
73,b'\x02\x08\x00',pressure,0.3,2024-01-27T16:50:25.345604,Omron,1
74,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:50:26.280377,Omron,1
75,b'\x02\x08\x00',pressure,1.5,2024-01-27T16:50:27.667865,Omron,1
76,b'\x02\x08\x00',pressure,6.4,2024-01-27T16:50:28.662296,Omron,1
77,b'\x02\x08\x00',pressure,56.8,2024-01-27T16:50:29.570691,Omron,1
78,b'\x02\x08\x00',pressure,0.0,2024-01-27T16:50:30.483831,Omron,1
79,b'\x02\x08\x00',pressure,0.2,2024-01-27T16:50:31.433088,Omron,1
80,b'\x02\x08\x00',pressure,1.7,2024-01-27T16:50:32.334519,Omron,1
81,b'\x02\x08\x00',pressure,2.1,2024-01-27T16:50:33.720276,Omron,1
